"param_name","mean_beta_avg","mean_beta_sd","overall_sd_beta","lower_ci_avg","upper_ci_avg","heterogeneity","linearity","sample_size"
"beta_1",-0.0493072016546275,0.282115106101752,0.604544903783527,-0.857740961302047,0.746478535471829,TRUE,TRUE,250
"beta_2",-0.0497502670858062,0.283908672656814,0.613829928197932,-0.86491945525947,0.762204742828421,TRUE,TRUE,250
"beta_3",-0.0540768718261769,0.281624368614676,0.608766799162684,-0.857050270965319,0.768260413786301,TRUE,TRUE,250
"beta_4",-0.0483996326336555,0.28018403115419,0.596346531249286,-0.840396704289424,0.739841775863999,TRUE,TRUE,250
"beta_5",-0.0563397999496274,0.293946354706843,0.590114178080859,-0.844419684193662,0.712544528413794,TRUE,TRUE,250
"beta_6",-0.0411694302541312,0.290464894586064,0.608963690269179,-0.843319231567892,0.769433048721522,TRUE,TRUE,250
"beta_7",-0.0335688959648177,0.29880913226724,0.613722014776534,-0.862647629934734,0.753722059888702,TRUE,TRUE,250
NA,-0.0380212782215777,0.280566947495928,0.569391165416526,-0.810037319210503,0.706369631283297,TRUE,TRUE,250
"beta_1",-0.0124307215166641,0.26620969416481,0.5613843106489,-0.697154495797118,0.810789693632838,TRUE,TRUE,500
"beta_2",-0.00355965151123111,0.27192222211575,0.561590381051063,-0.682512131385469,0.828029707688005,TRUE,TRUE,500
"beta_3",0.0028830002938775,0.270226486369059,0.564851544512674,-0.692890004833514,0.835045743066017,TRUE,TRUE,500
"beta_4",0.00736312616576847,0.265260128064142,0.563265346941771,-0.666774792462275,0.83548188186474,TRUE,TRUE,500
"beta_5",7.18284657694124e-05,0.255088164443078,0.571072583629323,-0.703496396948784,0.839385057013336,TRUE,TRUE,500
"beta_6",0.00693078215743125,0.260943304889752,0.577583321585106,-0.704896442061501,0.845996025135247,TRUE,TRUE,500
"beta_7",0.000238983431772916,0.26918151365932,0.574281982656548,-0.726448802905782,0.820386161399877,TRUE,TRUE,500
NA,-0.00617042456921476,0.2741244043131,0.50435849817919,-0.646033006358696,0.688900881894352,TRUE,TRUE,500
"beta_1",0.0419018061285216,0.202143496473311,0.496655553058568,-0.565555683948227,0.752385686918949,TRUE,FALSE,250
"beta_2",0.0399670990022001,0.195426940425871,0.474850956413521,-0.541232539112957,0.720161918007434,TRUE,FALSE,250
