"param_name","mean_beta_int_avg","mean_beta_int_sd","overall_sd_beta_int","lower_ci_avg","upper_ci_avg","heterogeneity","linearity","sample_size"
"beta_int_1",0.0539869567651567,0.111247102461382,0.558809043173856,-0.876407465802811,1.20035199949478,TRUE,TRUE,250
"beta_int_10",0.021672183522779,0.110209489416301,0.555532110969141,-0.914813014992698,1.14083192598098,TRUE,TRUE,250
"beta_int_11",0.0504774042663708,0.0994474760396722,0.573172516341904,-0.867080425012552,1.24820166611369,TRUE,TRUE,250
"beta_int_12",0.0549198873947748,0.0864187725977884,0.555205647296458,-0.829256302462898,1.2550905843415,TRUE,TRUE,250
"beta_int_13",0.047428556803481,0.116594040302663,0.573133877992894,-0.883768317496948,1.24928749032052,TRUE,TRUE,250
"beta_int_14",0.0777588091065965,0.0844130575942686,0.558926487243468,-0.826114295366146,1.31310432176577,TRUE,TRUE,250
"beta_int_15",0.0590317377922982,0.113488905155629,0.557703771935149,-0.830437253227786,1.24574936609477,TRUE,TRUE,250
"beta_int_16",0.0437460383788122,0.118771528142086,0.557316334268682,-0.857723172686107,1.19187895597522,TRUE,TRUE,250
"beta_int_17",0.029833927869288,0.114816607524441,0.531300911910441,-0.823504344987883,1.12262682736899,TRUE,TRUE,250
"beta_int_18",0.0693478595579163,0.140000904157676,0.588765697078852,-0.837970747949351,1.33757931315145,TRUE,TRUE,250
"beta_int_19",0.0551932554467072,0.133855010259331,0.621793676426512,-0.900049638010515,1.34751814332051,TRUE,TRUE,250
"beta_int_2",0.0602005068060335,0.0863584920910717,0.544333998947415,-0.816548357996686,1.19898223362188,TRUE,TRUE,250
"beta_int_20",0.0377613282493555,0.107496395871512,0.57581841747324,-0.899675888138065,1.20408109912178,TRUE,TRUE,250
"beta_int_21",0.0463650138724976,0.0936509651572251,0.56362762035466,-0.920980809300681,1.24886842166489,TRUE,TRUE,250
"beta_int_22",0.0431695456140572,0.0949469611590063,0.596901730379402,-0.970447667473653,1.27383873385017,TRUE,TRUE,250
"beta_int_23",0.0399668965530283,0.122361498853129,0.592788379187508,-0.936890191966964,1.20840980422161,TRUE,TRUE,250
"beta_int_24",0.0646838871430044,0.10870671819161,0.535201807111116,-0.777331491321912,1.21223636419991,TRUE,TRUE,250
"beta_int_25",0.0543010004368627,0.10079141059344,0.56336486800758,-0.810833850532301,1.22087671504427,TRUE,TRUE,250
"beta_int_26",0.0537653422087473,0.103778527736497,0.534147404760236,-0.783212178518967,1.18390340083211,TRUE,TRUE,250
"beta_int_27",0.0701748221809373,0.112986940953448,0.546589174872833,-0.772130992780803,1.21029889826595,TRUE,TRUE,250
"beta_int_28",0.0571604550591821,0.105673256580566,0.548389379877447,-0.797840428037982,1.21582852963979,TRUE,TRUE,250
"beta_int_3",0.0493229186662141,0.0884701067173509,0.535352406120671,-0.860587857344821,1.17236669948378,TRUE,TRUE,250
"beta_int_4",0.0478192938570917,0.0945173087408361,0.558425114034935,-0.886639331189238,1.14200420980426,TRUE,TRUE,250
"beta_int_5",0.0562529705168821,0.0920106693991988,0.543954060903356,-0.820898083733554,1.2083813217575,TRUE,TRUE,250
"beta_int_6",0.0575496533733924,0.0933254575389077,0.510995419633788,-0.758705123040872,1.11175540301349,TRUE,TRUE,250
"beta_int_7",0.0517068707630265,0.0907733015405303,0.568223191218449,-0.844600768920598,1.25211045537985,TRUE,TRUE,250
"beta_int_8",0.0442246421101627,0.101231087877751,0.535050737506354,-0.801915357865611,1.20630757420007,TRUE,TRUE,250
"beta_int_9",0.0384401585568738,0.0987673261365224,0.561124772465354,-0.878592023965398,1.21035304323579,TRUE,TRUE,250
NA,0.0597767729306583,0.0936001549122879,0.505962698814787,-0.756360337774724,1.1071512433086,TRUE,TRUE,250
"beta_int_1",0.0754334094773709,0.100272581965685,0.549794311677439,-0.794727747632595,1.22024851345525,TRUE,TRUE,500
"beta_int_10",0.0428837678178978,0.112225702535674,0.521240479885514,-0.792738228362593,1.08542622912771,TRUE,TRUE,500
"beta_int_11",0.0592799247812527,0.0769186328367971,0.487473523439012,-0.66625834997034,1.05590952909578,TRUE,TRUE,500
"beta_int_12",0.0460844003665539,0.120219099594635,0.57014575304864,-0.85630294344575,1.13951441126634,TRUE,TRUE,500
"beta_int_13",0.0504229371914904,0.101577088317238,0.532187378271478,-0.768300618483821,1.11442285034916,TRUE,TRUE,500
"beta_int_14",0.0525370303758711,0.108346157301236,0.524971783469645,-0.793099394867025,1.12677675501852,TRUE,TRUE,500
"beta_int_15",0.0613098929555982,0.0971796214830145,0.551542000532147,-0.812828205786039,1.21166771032114,TRUE,TRUE,500
"beta_int_16",0.0600196451513389,0.10470806655291,0.54369733527836,-0.779002575403249,1.21395365503621,TRUE,TRUE,500
"beta_int_17",0.0511549257883009,0.0870102117085169,0.535058703652842,-0.764511414019127,1.16510404714387,TRUE,TRUE,500
"beta_int_18",0.0499885198707631,0.102587449729307,0.55682496873504,-0.826255366531508,1.19286489208041,TRUE,TRUE,500
"beta_int_19",0.0617155127868552,0.108358884581754,0.540636428635572,-0.736601428839478,1.22529623189452,TRUE,TRUE,500
"beta_int_2",0.0516191949682947,0.0867914089592857,0.539627777406001,-0.852544844033849,1.12842159758937,TRUE,TRUE,500
"beta_int_20",0.0416694239598445,0.106323100978468,0.541447233857283,-0.841515651511962,1.14805949364512,TRUE,TRUE,500
"beta_int_21",0.0597257856570695,0.115901375680322,0.578006989801516,-0.815250802804155,1.27897663204844,TRUE,TRUE,500
"beta_int_22",0.0616317467805143,0.102760753430908,0.566251845358105,-0.793771559252277,1.32367959342977,TRUE,TRUE,500
"beta_int_23",0.0464351143884745,0.10155560592449,0.537673535102589,-0.814745184091057,1.16807804632947,TRUE,TRUE,500
"beta_int_24",0.0517000565529814,0.121086500465715,0.571160011781323,-0.862693119506077,1.22018167269179,TRUE,TRUE,500
"beta_int_25",0.0688839252915254,0.095909651915141,0.573476754709169,-0.795337454722109,1.31391976597281,TRUE,TRUE,500
"beta_int_26",0.0663660430532857,0.0947588592846007,0.537792705681921,-0.727841510587479,1.20189688616558,TRUE,TRUE,500
"beta_int_27",0.0613825538013652,0.0950960035237898,0.531732548245903,-0.736536103109599,1.19322822141106,TRUE,TRUE,500
"beta_int_28",0.0498936272655329,0.110348787486737,0.529784323376756,-0.753813729681316,1.15584064871413,TRUE,TRUE,500
"beta_int_3",0.0541980251552322,0.115868169070488,0.546236535837651,-0.811389296618742,1.19216677910832,TRUE,TRUE,500
"beta_int_4",0.0466794478819203,0.103509374207147,0.524093095942873,-0.789695157378778,1.1187681769958,TRUE,TRUE,500
"beta_int_5",0.0517639981230908,0.0895179925375318,0.549493654317431,-0.815494752112243,1.17106476851582,TRUE,TRUE,500
"beta_int_6",0.044526121408915,0.0757467297155605,0.535110664906198,-0.802842479202211,1.16337054883214,TRUE,TRUE,500
"beta_int_7",0.048511658712243,0.109694807386716,0.589584557226395,-0.904252452209908,1.23845640611359,TRUE,TRUE,500
"beta_int_8",0.0575516150183593,0.0790276969917578,0.540416527807743,-0.764585922567069,1.24875106857218,TRUE,TRUE,500
"beta_int_9",0.0467495441703327,0.0784066912083202,0.537406986888625,-0.798240429949197,1.13633849547666,TRUE,TRUE,500
NA,0.0629832168010461,0.0917709574596828,0.510122502810761,-0.719237684505442,1.13402334031709,TRUE,TRUE,500
